,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
301,shahrud,52,IR,1562872649,39,36.42,54.97,291.987,1.08
302,kavieng,100,PG,1562872649,78,-2.57,150.8,300.787,5.91
303,ketchikan,90,US,1562872650,93,55.34,-131.65,289.15,5.1
304,namibe,30,AO,1562872650,88,-15.19,12.15,291.987,5.78
305,tambo,0,PE,1562872650,12,-12.95,-74.02,294.15,1.0
306,merauke,100,ID,1562872650,78,-8.49,140.4,297.587,9.47
307,muros,0,ES,1562872651,68,42.77,-9.06,302.04,5.7
308,upington,0,ZA,1562872651,26,-28.46,21.24,289.15,3.6
309,bubaque,100,GW,1562872651,85,11.28,-15.83,299.487,5.9
310,mecca,0,SA,1562872367,22,21.43,39.83,304.287,2.1
311,havre-saint-pierre,1,CA,1562872652,55,50.23,-63.6,290.15,3.1
312,sturgeon bay,1,US,1562872652,56,44.83,-87.38,299.82,4.1
313,kirkuk,0,IQ,1562872652,11,35.47,44.4,307.387,4.05
314,sale,57,AU,1562872653,66,-38.11,147.06,283.71,5.65
315,vao,28,EE,1562872653,63,59.1,26.19,283.987,1.74
316,urengoy,100,RU,1562872653,87,65.96,78.37,290.287,5.08
317,balabac,48,PH,1562872654,79,7.99,117.06,300.287,3.02
318,manado,40,ID,1562872654,94,1.49,124.85,296.15,1.0
319,carndonagh,40,IE,1562872654,82,55.25,-7.27,291.15,4.6
320,isangel,20,VU,1562872655,83,-19.55,169.27,296.15,5.65
321,sabang,0,PH,1562872655,94,13.8,121.11,296.287,0.69
322,pinyug,89,RU,1562872655,86,60.25,47.79,282.087,1.37
323,lavrentiya,17,RU,1562872656,47,65.58,-170.99,291.487,2.54
324,gat,3,SN,1562872656,69,14.69,-16.54,299.15,6.2
325,bage,99,IN,1562872656,96,12.95,75.85,294.687,0.34
326,medina,0,SA,1562872484,12,24.47,39.61,309.15,5.1
327,berlevag,0,NO,1562872657,81,70.86,29.09,281.15,5.7
328,constitucion,40,MX,1562872657,27,23.99,-104.67,300.37,5.7
329,westport,75,US,1562872657,61,41.14,-73.36,302.59,4.6
330,alta,0,NO,1562872531,48,69.97,23.27,290.15,6.7
331,boguchany,28,RU,1562872658,73,58.38,97.46,286.087,1.53
332,konstantinovsk,97,RU,1562872658,88,47.58,41.1,289.387,1.24
333,opuwo,0,NA,1562872658,14,-18.06,13.84,291.587,4.14
334,lloydminster,75,CA,1562872659,72,53.28,-110.01,291.15,5.1
335,richards bay,0,ZA,1562872659,81,-28.77,32.06,295.087,9.21
336,kongolo,4,CD,1562872660,30,-5.39,27.0,300.087,1.69
337,atar,76,MR,1562872660,11,20.52,-13.05,312.287,1.2
338,lufkin,20,US,1562872660,66,31.34,-94.73,306.48,1.5
339,worthington,1,US,1562872661,61,43.62,-95.6,300.37,2.1
340,jombang,67,ID,1562872661,89,-7.54,112.24,294.087,3.27
341,batagay-alyta,68,RU,1562872661,75,67.8,130.41,285.487,0.61
342,portland,90,US,1562872649,88,43.66,-70.25,300.15,3.1
343,riyadh,0,SA,1562872662,7,24.63,46.72,310.15,3.6
344,kaputa,21,ZM,1562872662,45,-8.47,29.66,292.487,1.46
345,panaba,91,MX,1562872663,43,21.28,-88.27,308.187,0.82
346,slave lake,90,CA,1562872415,82,55.28,-114.77,289.15,1.5
347,vostok,60,RU,1562872663,93,46.45,135.83,288.787,1.28
348,oni,12,GE,1562872663,94,42.59,43.44,289.187,1.04
349,ponta do sol,0,BR,1562872664,39,-20.63,-46.0,294.587,2.61
350,ust-maya,75,RU,1562872664,95,60.42,134.54,289.587,1.02
351,gamba,91,CN,1562872664,69,28.28,88.52,279.687,1.51
352,tura,23,RU,1562872665,92,64.27,100.22,282.887,1.18
353,lodja,100,CD,1562872665,57,-3.52,23.6,299.387,1.22
354,moramanga,33,MG,1562872665,97,-18.95,48.23,288.487,1.46
355,egvekinot,0,RU,1562872666,28,66.32,-179.17,293.987,1.77
356,chabahar,43,IR,1562872666,81,25.29,60.65,302.087,2.7
357,tarakan,19,ID,1562872607,88,3.3,117.63,297.887,2.82
358,comodoro rivadavia,0,AR,1562872667,50,-45.87,-67.48,286.15,6.7
359,mitsamiouli,20,KM,1562872667,73,-11.38,43.28,296.15,1.0
360,collie,3,AU,1562872667,74,-33.36,116.15,279.82,1.06
361,becerril,90,CO,1562872668,57,9.7,-73.28,307.387,0.53
362,gizo,0,IL,1562872668,61,31.8,34.94,301.48,3.6
363,loreto,1,PY,1562872668,35,-23.27,-57.32,303.287,4.57
364,buluang,75,PH,1562872668,83,10.47,123.98,300.15,2.1
365,the valley,20,AI,1562872669,55,18.22,-63.06,305.15,7.2
366,itarema,51,BR,1562872669,63,-2.92,-39.92,302.087,5.4
367,santa cruz,44,BR,1562872392,49,-6.22,-36.02,301.187,5.82
368,cockburn town,40,TC,1562872569,70,21.46,-71.14,305.15,5.1
369,atambua,0,ID,1562872670,74,-9.11,124.89,297.687,7.68
370,tuban,42,ID,1562872670,91,-6.9,112.07,293.887,1.84
371,ahipara,42,NZ,1562872671,83,-35.17,173.16,289.387,10.96
372,gull lake,75,CA,1562872671,73,50.1,-108.48,295.15,4.6
373,lasa,0,CY,1562872671,88,34.92,32.53,301.48,3.6
374,faanui,0,PF,1562872672,69,-16.48,-151.75,298.687,4.08
375,lityn,67,UA,1562872672,90,49.32,28.09,286.087,3.05
376,coquimbo,0,CL,1562872672,67,-29.95,-71.34,289.26,2.1
377,brighton,0,GB,1562872502,77,50.82,-0.14,297.04,6.2
378,vinderup,75,DK,1562872673,93,56.48,8.79,290.37,1.5
379,sayyan,92,YE,1562872673,49,15.17,44.32,296.587,2.29
380,ranong,20,TH,1562872674,94,9.96,98.62,299.15,2.67
381,montemor-o-novo,0,PT,1562872674,20,38.65,-8.21,307.15,7.7
382,port lincoln,100,AU,1562872674,71,-34.72,135.86,287.187,15.06
383,shar,94,NG,1562872675,92,7.3,8.73,297.187,1.65
384,bukama,0,CD,1562872675,28,-9.2,25.85,296.787,2.22
